player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Missori;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Paz Y.;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Pieragnolo;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Ghion;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Alvarez A.;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Mulattieri;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Skjellerup;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Donnarumma An.;TOR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Popa;TOR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Schuurs;TOR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Giannetti L.;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Pafundi;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Brenner;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Sanchez;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Thauvin;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Pizarro;UDI;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Tchatchoua;VER;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Santiago;VER;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
"Ciss&#xE8; A.";VER;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Rocha Livramento;VER;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Vasquez D.;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
